date,open,high,low,close,stock_num,vol
2021-01-25,803.159,803.159,779.961,785.604,66,1376189590
2021-01-26,785.604,794.227,764.018,770.318,66,1946080885
2021-01-27,770.318,777.526,753.725,770.299,66,2038294143
2021-01-28,770.299,779.868,740.08,744.213,66,2247416684
2021-01-29,744.213,759.522,727.778,740.682,66,3506513290
2021-02-01,740.682,760.027,726.604,760.027,66,3000002105
2021-02-02,760.027,774.199,752.152,756.556,66,8950392843
2021-02-03,756.556,763.79,750.88,754.336,66,3516253529
2021-02-04,754.336,765.643,749.639,754.241,66,2911273920
2021-02-05,754.241,771.35,758.666,770.325,66,3840496969
2021-02-08,770.325,784.531,772.79,775.682,66,2873843199
2021-02-09,775.682,782.888,766.03,770.017,66,3165953536
2021-02-10,770.017,775.469,766.512,769.776,66,1558136898
2021-02-11,769.776,781.555,769.083,781.07,66,1685134186
2021-02-15,781.07,790.54,780.102,787.895,66,1859452625
2021-02-16,787.895,794.06,785.607,787.671,66,1435198708
2021-02-17,787.671,789.447,774.654,782.027,66,2505771826
2021-02-18,782.027,786.727,779.064,780.181,66,1650989480
2021-02-19,780.181,781.938,772.857,777.68,66,1918855660
2021-02-22,777.68,792.142,779.469,790.763,66,2067211192
2021-02-23,790.763,796.405,778.227,778.227,66,2397437954
2021-02-24,778.227,780.124,766.96,768.372,66,1595298038
2021-02-25,768.372,779.683,773.097,775.881,66,1773069722
2021-02-26,775.881,771.348,762.539,767.948,66,1872261805
2021-03-01,767.948,772.67,764.959,770.737,66,5178039877
2021-03-02,770.737,779.693,767.913,769.457,66,1415500999
2021-03-03,769.457,773.319,766.912,770.362,66,1318211940
2021-03-04,770.362,772.52,762.745,764.679,66,1658772725
2021-03-05,764.679,765.651,749.32,749.32,66,1787397480
2021-03-08,749.32,757.13,743.27,744.734,67,2065822121
2021-03-09,744.734,748.178,734.828,741.624,67,2690669660
2021-03-10,741.624,748.271,742.306,743.067,67,964101835
2021-03-12,743.067,763.662,747.194,762.498,67,3487504041
2021-03-15,762.498,770.062,758.037,760.52,67,2309053490
2021-03-16,760.52,763.699,754.403,756.147,67,1748736431
2021-03-17,756.147,759.167,751.368,752.418,67,1398179022
2021-03-18,752.418,763.708,755.227,762.291,67,2955412331
2021-03-19,762.291,762.422,753.869,761.528,67,3356144919
2021-03-22,761.528,772.057,760.147,763.635,67,3464165243
2021-03-23,763.635,773.511,756.917,760.309,67,5742519056
2021-03-24,760.309,756.537,738.259,738.964,67,2399671878
2021-03-25,738.964,742.949,726.703,732.215,67,2301889790
2021-03-26,732.215,742.546,729.823,740.861,67,2079290088
2021-03-29,740.861,745.831,733.587,733.786,67,1494121465
2021-03-30,733.786,735.015,717.926,719.432,67,1691966632
2021-03-31,719.432,723.577,708.536,712.982,67,1854296695
2021-04-01,712.982,724.88,713.531,717.747,67,1449025178
2021-04-05,717.747,723.483,711.628,712.48,67,1160498850
2021-04-06,712.48,717.339,707.567,716.733,67,1340436324
2021-04-07,716.733,725.343,716.254,725.343,67,1451572204
2021-04-08,725.343,727.527,719.31,723.889,67,1889924171
2021-04-09,723.889,728.545,720.497,723.004,67,1537438012
2021-04-12,723.004,723.327,700.51,702.047,67,2533201230
2021-04-13,702.047,701.289,688.563,691.644,67,3253526732
2021-04-14,691.644,698.725,692.518,697.003,67,1391579743
2021-04-15,697.003,700.474,690.58,695.5,67,1135078484
2021-04-16,695.5,706.121,693.356,696.006,67,1152090201
2021-04-19,696.006,702.471,694.51,699.545,67,1171203885
2021-04-20,699.545,700.956,692.553,693.568,67,1426620605
2021-04-21,693.568,696.798,686.63,693.742,67,1059318150
2021-04-22,693.742,698.461,693.332,693.332,67,1410918660
2021-04-23,693.332,704.255,690.487,702.774,67,1589158425
2021-04-26,702.774,715.811,700.562,710.167,67,1247199426
2021-04-27,710.167,737.736,710.62,730.13,67,1127940633
2021-04-28,730.13,746.386,729.864,738.137,67,902510366
2021-04-29,738.137,743.387,736.173,739.643,67,1242031284
2021-04-30,739.643,745.906,736.429,744.548,67,1532183962
2021-05-03,744.548,746.77,731.102,741.696,67,1877288786
2021-05-04,741.696,746.883,734.812,746.872,67,1514998101
2021-05-05,746.872,745.958,739.341,741.118,67,1005153100
2021-05-06,741.118,752.812,740.112,740.717,67,1112275123
2021-05-07,740.717,748.643,739.302,739.551,67,1121542719
2021-05-10,739.551,748.821,741.794,747.218,67,1445316061
2021-05-11,747.218,751.157,742.931,748.903,67,1674476106
2021-05-17,748.903,754.555,743.378,744.402,67,1730042708
2021-05-18,744.402,753.34,743.698,751.679,67,1293681817
2021-05-19,751.679,755.17,743.762,743.762,67,1310102300
2021-05-20,743.762,747.53,737.976,738.408,67,1401539852
2021-05-21,738.408,747.664,732.437,734.551,67,1615603047
2021-05-22,734.551,744.212,733.534,736.761,67,4629647229
2021-05-24,734.551,752.438,734.99,735.283,67,1477129444
2021-05-25,735.283,750.828,738.499,745.55,67,1611538875
2021-05-27,745.55,755.983,744.162,744.162,67,2561948046
2021-05-28,744.162,750.704,741.463,742.313,67,1317949690
2021-05-31,742.313,745.231,733.365,737.214,67,1326991937
2021-06-02,737.214,758.807,736.515,758.807,67,2627714143
2021-06-03,758.807,760.607,751.531,753.452,67,1982468713
2021-06-04,753.452,753.975,746.728,749.46,67,1225370002
2021-06-07,749.46,751.756,740.438,741.583,67,1103458257
2021-06-08,741.583,747.26,735.166,736.624,67,1862861851
2021-06-09,736.624,743.678,736.953,741.263,67,2058923771
2021-06-10,741.263,749.702,742.365,743.654,67,1805867545
2021-06-11,743.654,774.467,748.041,767.853,67,4151365802
