date,open,high,low,close,stock_num,vol
2021-01-25,1040.536,1038.974,992.374,1001.717,50,470972885
2021-01-26,1001.717,1016.467,969.481,976.43,50,488166634
2021-01-27,976.43,984.125,942.429,975.806,50,376896627
2021-01-28,975.806,991.965,956.078,980.383,50,348718860
2021-01-29,980.383,992.179,940.318,958.953,50,519928532
2021-02-01,958.953,985.388,927.963,979.986,50,552668262
2021-02-02,979.986,999.805,960.474,969.211,50,376385001
2021-02-03,969.211,998.826,967.548,988.45,50,358380669
2021-02-04,988.45,996.712,978.252,990.27,50,267699325
2021-02-05,990.27,997.425,984.313,991.336,50,322947757
2021-02-08,991.336,1006.281,992.23,999.4,50,812146318
2021-02-09,999.4,1009.075,965.667,965.8,50,375919740
2021-02-10,965.8,978.572,961.641,971.764,50,178295544
2021-02-11,971.764,978.976,963.412,965.721,50,184166084
2021-02-15,965.721,1001.603,969.542,976.622,50,794665650
2021-02-16,976.622,982.458,971.587,974.607,50,417366890
2021-02-17,974.607,993.622,960.357,967.989,50,300493505
2021-02-18,967.989,999.711,964.004,971.986,50,374973541
2021-02-19,971.986,993.197,971.745,981.362,50,230470376
2021-02-22,981.362,993.809,976.808,980.311,50,389435038
2021-02-23,980.311,987.524,973.049,975.1,50,204059541
2021-02-24,975.1,982.413,951.406,955.084,50,249017282
2021-02-25,955.084,967.085,949.039,963.004,50,379292644
2021-02-26,963.004,952.759,925.056,931.754,50,313929241
2021-03-01,931.754,957.897,940.152,951.978,50,279891090
2021-03-02,951.978,974.203,951.519,965.187,50,879361353
2021-03-03,965.187,976.549,950.979,958.432,50,1006826163
2021-03-04,958.432,965.155,942.895,952.346,50,1595622355
2021-03-05,952.346,956.601,928.743,944.372,50,1102517349
2021-03-08,944.372,967.038,947.68,956.75,50,500726214
2021-03-09,956.75,964.26,944.918,948.76,50,513181867
2021-03-10,948.76,950.751,932.252,934.703,50,349571446
2021-03-12,934.703,955.054,936.121,936.121,50,412471803
2021-03-15,936.121,961.11,938.776,951.08,50,334197889
2021-03-16,951.08,984.925,953.862,953.862,50,716039304
2021-03-17,953.862,969.223,948.575,948.575,50,991921191
2021-03-18,948.575,977.072,958.35,961.195,50,805018794
2021-03-19,961.195,966.932,952.491,966.932,50,601095833
2021-03-22,966.932,983.603,963.903,974.199,50,450388328
2021-03-23,974.199,1000.214,973.497,984.048,50,453207766
2021-03-24,984.048,991.004,963.48,964.992,50,479043028
2021-03-25,964.992,976.687,946.844,965.841,50,657005643
2021-03-26,965.841,982.121,966.625,981.015,50,578792257
2021-03-29,981.015,993.261,972.561,976.98,50,857807540
2021-03-30,976.98,982.759,946.614,949.21,50,822852448
2021-03-31,949.21,958.163,920.825,938.311,50,551984264
2021-04-01,938.311,968.914,942.715,966.262,50,740191750
2021-04-05,966.262,984.325,954.541,959.018,50,937315425
2021-04-06,959.018,974.155,955.14,967.115,50,690908493
2021-04-07,967.115,978.003,962.165,972.706,50,863707784
2021-04-08,972.706,983.359,961.863,963.101,50,818934814
2021-04-09,963.101,970.121,957.749,964.29,50,1175455695
2021-04-12,964.29,967.181,926.467,929.978,50,643444431
2021-04-13,929.978,941.82,919.917,934.364,50,741760283
2021-04-14,934.364,959.245,936.566,955.958,50,807719286
2021-04-15,955.958,985.897,954.175,971.538,50,733466063
2021-04-16,971.538,987.934,967.594,975.969,50,448858111
2021-04-19,975.969,980.687,956.542,963.234,50,489360502
2021-04-20,963.234,970.43,951.513,968.693,50,494283831
2021-04-21,968.693,967.479,954.101,960.025,50,290346930
2021-04-22,960.025,976.633,955.847,970.814,50,974735090
2021-04-23,970.814,981.446,963.23,980.233,50,1689294268
2021-04-26,980.233,990.536,966.596,973.266,50,772931500
2021-04-27,973.266,977.041,947.942,950.798,50,787561352
2021-04-28,950.798,953.379,935.276,943.382,50,603317600
2021-04-29,943.382,964.33,942.25,957.09,50,1049690499
2021-04-30,957.09,965.407,947.307,958.241,50,702764629
2021-05-03,958.241,961.497,947.306,949.593,50,698379359
2021-05-04,949.593,964.695,949.114,958.986,50,1099568887
2021-05-05,958.986,973.904,958.911,965.327,50,738594437
2021-05-06,965.327,975.089,956.175,960.949,50,479856419
2021-05-07,960.949,970.45,946.151,951.156,50,421593257
2021-05-10,951.156,958.634,951.079,956.514,50,437067596
2021-05-11,956.514,958.504,930.26,932.052,50,549084079
2021-05-17,932.052,942.417,908.955,912.551,50,1183943943
2021-05-18,912.551,938.321,908.112,936.14,50,1489952039
2021-05-19,936.14,946.813,924.308,937.034,50,1503272600
2021-05-20,937.034,953.573,931.354,946.514,50,334028941
2021-05-21,946.514,954.042,927.642,934.127,50,974356053
2021-05-22,934.127,1027.516,932.511,932.511,51,11191456192
2021-05-24,934.127,941.867,929.497,933.179,51,1900181658
2021-05-25,933.179,949.792,925.708,941.688,51,889676712
2021-05-27,941.688,971.444,936.137,959.788,51,2862412879
2021-05-28,959.788,972.256,954.545,958.248,51,2591844446
2021-05-31,958.248,978.131,957.382,971.248,51,1184723062
2021-06-02,971.248,989.26,976.237,988.084,51,1203839340
2021-06-03,988.084,993.3,978.364,985.417,51,1932666097
2021-06-04,985.417,987.257,967.351,971.181,51,1166010896
2021-06-07,971.181,985.284,970.41,977.816,51,4962748630
2021-06-08,977.816,987.257,962.313,973.861,51,6824039908
2021-06-09,973.861,991.03,964.421,990.912,51,6729672500
2021-06-10,990.912,1002.936,988.596,992.726,52,871905200
2021-06-11,992.726,997.814,979.722,983.983,52,3719500478
2021-06-14,983.983,989.782,960.303,961.662,52,2745974700
2021-06-15,961.662,964.096,952.292,960.174,52,608296926
2021-06-16,960.174,965.311,955.738,959.656,52,1427700506
2021-06-17,959.656,978.058,947.738,966.09,52,1908582415
2021-06-18,966.09,971.888,943.402,963.453,52,3862864909
2021-06-21,963.453,957.224,924.02,947.959,52,2730651976
2021-06-22,947.959,974.379,947.445,964.451,52,1805342200
2021-06-23,964.451,989.25,966.105,966.438,52,1024625722
2021-06-24,966.438,984.184,965.592,972.816,52,1710578744
2021-06-25,972.816,980.645,962.953,971.601,52,2633723594
2021-06-28,971.601,975.958,947.305,947.305,52,987395214
2021-06-29,947.305,960.856,938.473,951.174,52,1891362278
2021-06-30,951.174,962.928,948.02,958.015,52,1235532006
2021-07-01,958.015,979.035,957.324,966.183,50,548338156
2021-07-02,966.183,974.752,960.733,965.111,50,1298821810
2021-07-05,965.111,974.511,953.353,956.89,50,834279100
2021-07-06,956.89,962.754,953.513,958.394,50,1899966024
2021-07-07,958.394,965.2,948.933,953.484,50,2250388961
2021-07-08,953.484,960.496,942.569,947.075,50,971973325
2021-07-09,947.075,950.869,940.575,945.025,50,976560970
2021-07-12,945.025,952.094,943.343,946.293,50,686877174
2021-07-13,946.293,952.374,929.427,935.693,50,1728211678
2021-07-14,935.693,937.95,912.465,912.61,50,871255748
2021-07-15,912.61,933.771,904.628,931.504,50,569585606
2021-07-16,931.504,945.389,932.778,940.788,50,452105863
2021-07-19,940.788,941.429,924.33,925.82,50,615698737
2021-07-21,925.82,945.741,926.859,938.142,50,2161615100
2021-07-22,938.142,968.245,944.693,963.328,50,1638470264
2021-07-23,963.328,967.077,950.158,953.697,50,572483085
2021-07-26,953.697,959.132,938.107,938.107,50,611299100
2021-07-27,938.107,946.956,928.302,934.268,50,668460471
2021-07-28,934.268,938.904,925.781,927.371,50,3022868175
2021-07-29,927.371,931.153,917.473,917.75,50,1350464390
2021-07-30,917.75,940.371,920.191,926.25,50,1258316531
2021-08-02,926.25,936.19,925.951,936.19,50,1735077401
2021-08-03,936.19,953.369,936.8,948.911,50,3103322200
2021-08-04,948.911,955.324,939.702,942.423,50,2007271058
2021-08-05,942.423,949.128,939.659,942.068,50,2687867923
2021-08-06,942.068,960.289,942.246,952.342,50,4175232856
2021-08-09,952.342,955.022,936.219,939.88,50,1857022836
2021-08-10,939.88,949.088,934.541,946.654,50,1704327240
2021-08-12,946.654,973.908,945.787,971.181,50,1146009830
2021-08-13,971.181,983.975,971.18,978.113,50,651790026
2021-08-16,978.113,984.711,965.005,974.437,50,881732900
2021-08-18,974.437,994.951,965.899,984.609,50,1011186285
2021-08-19,984.609,989.042,958.993,969.073,50,1043056166
2021-08-20,969.073,968.293,949.638,962.514,50,1624143679
2021-08-23,962.514,973.476,959.566,967.627,50,1948377200
2021-08-24,967.627,978.913,955.907,961.26,50,2915078546
2021-08-25,961.26,976.665,963.99,972.097,50,1061085519
2021-08-26,972.097,980.29,960.858,967.077,50,764858840
2021-08-27,967.077,970.81,960.25,964.615,50,875164900
2021-08-30,964.615,997.524,970.256,997.524,50,790691004
2021-08-31,997.524,1006.876,988.08,994.982,50,2600310598
2021-09-01,994.982,1003.235,981.16,986.568,50,2446001187
2021-09-02,986.568,998.493,987.024,997.152,50,1288433283
2021-09-03,997.152,1019.043,991.05,1018.214,50,1677985470
2021-09-06,1018.214,1035.522,1015.653,1032.38,51,1333231790
2021-09-07,1032.38,1038.428,1016.85,1021.616,51,953394000
2021-09-08,1021.616,1022.603,1000.693,1003.24,51,1801029192
2021-09-09,1003.24,1034.896,1002.574,1034.896,51,1391619794
2021-09-10,1034.896,1036.587,1019.351,1027.617,51,587596381
2021-09-13,1027.617,1032.444,1016.055,1026.013,51,464401678
2021-09-14,1026.013,1039.438,1027.02,1039.32,51,1193908726
2021-09-15,1039.32,1043.456,1024.026,1030.018,51,1465226068
2021-09-16,1030.018,1042.324,1024.788,1028.35,51,1849087219
2021-09-17,1028.35,1028.299,1008.018,1022.899,51,958805777
2021-09-20,1022.899,1026.852,999.428,1008.383,51,2463711784
2021-09-21,1008.383,1005.131,989.664,999.895,51,2338320057
2021-09-22,999.895,1018.156,995.014,1008.768,51,1858705882
2021-09-23,1008.768,1019.027,995.334,995.334,51,1797362582
2021-09-24,995.334,1011.431,999.735,1005.529,51,1104731358
2021-09-27,1005.529,1020.292,1005.787,1014.655,51,618121832
2021-09-28,1014.655,1024.092,1009.663,1013.107,51,1184291794
2021-09-29,1013.107,1056.917,1008.715,1055.571,51,1024645351
2021-09-30,1055.571,1081.812,1046.309,1081.812,51,1029141667
2021-10-01,1081.812,1085.87,1065.865,1076.932,51,626148700
2021-10-04,1076.932,1109.363,1082.136,1104.739,51,1570456120
2021-10-05,1104.739,1117.712,1077.555,1083.576,51,1840290709
2021-10-06,1083.576,1128.599,1088.388,1119.159,51,1193300906
2021-10-07,1119.159,1104.325,1080.061,1090.457,51,955417862
2021-10-08,1090.457,1113.971,1082.204,1107.877,51,1025378767
2021-10-11,1107.877,1112.81,1097.652,1100.741,51,1590068438
2021-10-12,1100.741,1115.001,1103.883,1108.002,51,1183058053
2021-10-13,1108.002,1133.037,1106.431,1133.037,51,1996184994
2021-10-14,1133.037,1145.202,1108.707,1119.033,51,1508937014
2021-10-15,1119.033,1130.231,1105.867,1117.038,51,820555405
2021-10-18,1117.038,1142.213,1118.199,1133.184,51,1775853600
2021-10-19,1133.184,1136.661,1120.085,1133.375,51,1934613200
2021-10-21,1133.375,1128.225,1092.803,1102.903,51,1692871327
2021-10-22,1102.903,1105.972,1085.992,1089.477,51,1004407432
2021-10-25,1089.477,1105.598,1084.317,1086.171,52,802740827
2021-10-26,1086.171,1106.544,1088.995,1099.612,52,1790826160
2021-10-27,1099.612,1099.659,1086.59,1088.885,52,1809824879
2021-10-28,1088.885,1090.44,1062.56,1064.693,52,1532310177
2021-10-29,1064.693,1093.146,1071.75,1080.968,52,1839835196
2021-11-01,1080.968,1095.231,1079.451,1079.572,52,1415158212
2021-11-02,1079.572,1086.005,1058.068,1058.068,52,1146243764
2021-11-03,1058.068,1061.992,1048.92,1055.448,52,974720878
2021-11-04,1055.448,1072.432,1059.434,1061.671,52,1174355937
