date,open,high,low,close,stock_num,vol
2021-01-25,1345.699,1347.338,1299.278,1335.402,21,433446700
2021-01-26,1335.402,1337.077,1303.337,1311.301,21,451858735
2021-01-27,1311.301,1312.121,1269.457,1287.005,21,481310634
2021-01-28,1287.005,1296.435,1253.847,1278.614,21,804031100
2021-01-29,1278.614,1288.894,1244.425,1255.875,21,446704434
2021-02-01,1255.875,1292.205,1227.344,1266.526,21,493888911
2021-02-02,1266.526,1333.458,1269.982,1312.321,21,560724973
2021-02-03,1312.321,1345.52,1313.235,1335.288,21,7112578598
2021-02-04,1335.288,1354.35,1303.055,1309.73,21,461010009
2021-02-05,1309.73,1330.297,1302.947,1329.798,21,432702825
2021-02-08,1329.798,1340.071,1320.652,1331.264,21,444858900
2021-02-09,1331.264,1355.211,1308.315,1321.45,21,1014903661
2021-02-10,1321.45,1329.584,1306.06,1320.078,21,429037000
2021-02-11,1320.078,1336.515,1314.527,1336.515,21,361069400
2021-02-15,1336.515,1350.806,1330.475,1332.22,21,323212820
2021-02-16,1332.22,1347.552,1321.195,1345.128,21,738028404
2021-02-17,1345.128,1354.8,1327.951,1340.569,21,419148105
2021-02-18,1340.569,1348.394,1319.961,1320.143,21,843432340
2021-02-19,1320.143,1361.489,1326.131,1349.348,21,745509102
2021-02-22,1349.348,1370.952,1348.912,1355.549,21,665245674
2021-02-23,1355.549,1361.167,1334.152,1337.792,21,579513663
2021-02-24,1337.792,1345.489,1310.776,1315.874,21,499238200
2021-02-25,1315.874,1327.736,1316.451,1324.742,21,541109530
2021-02-26,1324.742,1324.208,1298.655,1310.565,21,417681352
2021-03-01,1310.565,1328.476,1314.729,1323.856,21,767975145
2021-03-02,1323.856,1341.64,1325.446,1334.153,21,385196972
2021-03-03,1334.153,1342.642,1326.545,1331.339,21,311410700
2021-03-04,1331.339,1333.699,1304.639,1312.159,21,360419700
2021-03-05,1312.159,1313.2,1290.974,1299.204,21,669077293
2021-03-08,1299.204,1317.489,1296.639,1309.749,21,513404088
2021-03-09,1309.749,1315.908,1279.737,1289.313,21,490234452
2021-03-10,1289.313,1312.456,1292.72,1306.206,21,733278679
2021-03-12,1306.206,1333.772,1309.993,1330.892,21,570870086
2021-03-15,1330.892,1348.718,1332.982,1340.867,21,545491582
2021-03-16,1340.867,1355.429,1338.166,1343.164,21,359372432
2021-03-17,1343.164,1351.074,1336.248,1342.988,21,809881256
2021-03-18,1342.988,1356.375,1340.62,1345.219,21,697713831
2021-03-19,1345.219,1353.387,1338.668,1344.886,21,522655853
2021-03-22,1344.886,1356.768,1340.697,1341.78,21,415028022
2021-03-23,1341.78,1344.246,1312.494,1321.937,21,330395365
2021-03-24,1321.937,1321.319,1285.751,1288.086,21,1184101011
2021-03-25,1288.086,1308.631,1279.747,1300.839,21,697907589
2021-03-26,1300.839,1307.016,1289.152,1307.016,21,483583201
2021-03-29,1307.016,1312.772,1283.182,1286.401,21,805955200
2021-03-30,1286.401,1291.428,1267.336,1274.494,21,569611981
2021-03-31,1274.494,1279.38,1247.6,1275.315,21,804707115
2021-04-01,1275.315,1280.223,1265.932,1280.039,21,877599520
2021-04-05,1280.039,1292.414,1272.431,1276.597,21,373156880
2021-04-06,1276.597,1282.716,1268.011,1273.802,21,361173566
2021-04-07,1273.802,1283.976,1271.429,1277.839,21,651727415
2021-04-08,1277.839,1297.413,1277.792,1289.008,21,715180180
2021-04-09,1289.008,1306.162,1289.613,1300.832,21,437041161
2021-04-12,1300.832,1303.566,1275.151,1278.962,21,392536389
2021-04-13,1278.962,1280.679,1265.115,1273.884,21,695913345
2021-04-14,1273.884,1282.835,1272.947,1279.503,21,285369200
2021-04-15,1279.503,1282.387,1265.993,1278.24,21,529984330
2021-04-16,1278.24,1281.118,1270.444,1275.539,21,789268683
2021-04-19,1275.539,1284.049,1271.702,1282.286,21,597314900
2021-04-20,1282.286,1301.032,1274.647,1294.436,21,631591859
2021-04-21,1294.436,1296.295,1283.329,1288.632,21,654207078
2021-04-22,1288.632,1296.152,1280.033,1286.725,21,559908171
2021-04-23,1286.725,1293.204,1277.329,1282.614,21,594401100
2021-04-26,1282.614,1291.854,1272.931,1278.786,21,390969899
2021-04-27,1278.786,1286.008,1274.765,1277.064,21,782125280
2021-04-28,1277.064,1287.404,1266.548,1273.154,21,610914095
2021-04-29,1273.154,1286.136,1272.296,1281.875,21,455518173
2021-04-30,1281.875,1291.911,1275.708,1277.466,21,649418845
2021-05-03,1277.466,1288.107,1271.937,1277.001,21,740607227
2021-05-04,1277.001,1291.788,1276.979,1286.176,21,460812997
