date,open,high,low,close,stock_num,vol
2025-03-10,732.659,736.199,722.444,726.671,91,1114951053
2025-03-07,725.655,737.681,724.894,732.659,91,908001890
2025-03-06,712.313,736.254,713.884,725.655,91,1089856925
2025-03-05,704.473,715.909,703.75,712.313,91,899253037
2025-03-04,718.691,719.996,698.31,704.473,91,1151641558
2025-03-03,700.356,718.691,703.105,718.691,91,1456360524
2025-02-28,713.554,710.224,698.811,700.356,91,566128892
2025-02-27,720.868,725.016,711.18,713.554,91,648745172
2025-02-26,724.09,729.741,716.634,720.868,91,826031094
2025-02-25,736.862,737.953,720.54,724.09,91,858285725
2025-02-24,738.733,744.52,734.256,736.862,91,672569300
2025-02-21,735.526,743.216,736.726,738.733,91,706405399
2025-02-20,744.195,747.151,733.978,735.526,91,1090576162
2025-02-19,750.223,752.823,741.869,744.195,91,654355886
2025-02-18,754.284,758.202,748.253,750.223,91,1342612500
2025-02-17,745.577,760.307,749.083,754.284,91,1044808232
2025-02-14,736.806,746.734,739.437,745.577,91,523926603
2025-02-13,725.116,738.424,721.471,736.806,91,621785944
2025-02-12,715.981,726.26,714.564,725.116,91,520844776
2025-02-11,730.22,732.426,713.615,715.981,91,502157772
2025-02-10,739.227,740.664,726.11,730.22,91,604967865
2025-02-07,734.554,740.045,723.349,739.227,91,637287939
2025-02-06,748.702,753.222,732.222,734.554,91,1135495183
2025-02-05,745.577,754.011,745.839,748.702,91,764785728
2025-02-04,740.733,754.093,741.839,745.577,91,618568326
2025-02-03,753.924,747.729,721.97,740.733,91,916524152
2025-01-31,755.22,763.212,751.802,753.924,91,511849907
2025-01-30,767.541,770.376,751.744,755.22,91,547580875
2025-01-24,750.744,768.49,750.084,767.541,91,489174402
2025-01-23,773.574,778.384,748.883,750.744,91,662711766
2025-01-22,784.461,786.419,773.164,773.574,91,704169117
2025-01-21,790.961,793.868,780.959,784.461,91,611018220
2025-01-20,788.237,798.111,786.418,790.961,91,659689028
2025-01-17,774.723,789.748,778.232,788.237,91,655874785
2025-01-16,767.446,784.148,759.612,774.723,91,1224269357
2025-01-15,747.81,768.917,752.58,767.446,91,1049459545
2025-01-14,745.302,762.274,744.816,747.81,91,758108298
2025-01-13,750.58,758.697,743.426,745.302,91,741864342
2025-01-10,753.658,756.77,748.911,750.58,90,845519070
2025-01-09,752.379,756.643,751.612,753.658,90,625562716
2025-01-08,754.567,759.108,750.739,752.379,90,409326284
2025-01-07,753.504,755.649,749.717,754.567,89,476803955
2025-01-06,763.497,765.773,752.391,753.504,89,438581885
2025-01-03,764.621,768.824,760.131,763.497,89,733001949
2025-01-02,756.843,765.474,757.428,764.621,89,1090293198
2024-12-30,754.908,757.233,750.024,756.843,89,1209304972
2024-12-27,749.127,755.034,748.114,754.908,89,2784531547
2024-12-24,746.613,751.176,745.205,749.127,89,749433790
