date,open,high,low,close,stock_num,vol
2021-01-25,1872.193,1878.25,1854.664,1873.303,17,41550533
2021-01-26,1873.303,1879.507,1836.281,1841.168,17,69631600
2021-01-27,1841.168,1851.721,1824.875,1833.033,17,107135145
2021-01-28,1833.033,2010.296,1831.65,1990.163,17,160476823
2021-01-29,1990.163,2167.055,1991.034,2157.776,17,75879022
2021-02-01,2157.776,2374.968,2157.776,2374.968,17,184055000
2021-02-02,2374.968,2605.272,2267.302,2274.926,17,72159800
2021-02-03,2274.926,2277.948,2193.33,2207.092,17,54290234
2021-02-04,2207.092,2409.867,2131.464,2160.581,17,174016200
2021-02-05,2160.581,2351.809,2159.71,2324.89,17,85593700
2021-02-08,2324.89,2570.455,2325.702,2498.553,18,61043000
2021-02-09,2498.553,2673.418,2498.553,2673.418,18,84321200
2021-02-10,2673.418,2978.331,2718.217,2973.555,18,227872700
2021-02-11,2973.555,3044.435,2974.569,3043.75,18,64317800
2021-02-15,3043.75,3134.499,3043.75,3131.944,18,207052800
2021-02-16,3131.944,3238.814,3132.756,3231.775,18,174899400
2021-02-17,3231.775,3354.074,3232.493,3326.69,18,251385600
2021-02-18,3326.69,3448.021,3325.878,3439.436,18,144461700
2021-02-19,3439.436,3578.984,3373.654,3388.65,18,60140500
2021-02-22,3388.65,3392.097,3327.825,3347.991,18,128941400
2021-02-23,3347.991,3349.615,3295.641,3308.081,18,174465400
2021-02-24,3308.081,3309.705,3254.02,3271.664,18,58594700
2021-02-25,3271.664,3272.476,3229.14,3240.968,18,174705200
2021-02-26,3240.968,3244.217,3196.457,3216.44,18,78276900
2021-03-01,3216.44,3218.876,3175.607,3183.874,18,89319700
2021-03-02,3183.874,3190.886,3150.424,3164.593,18,47628500
2021-03-03,3164.593,3243.597,3144.799,3172.746,18,42185100
2021-03-04,3172.746,3207.7,3153.227,3170.053,18,52656100
2021-03-05,3170.053,3172.418,3127.498,3137.789,18,31924620
2021-03-08,3137.789,3143.665,3103.238,3107.446,18,31873500
2021-03-09,3107.446,3107.446,3077.842,3092.354,18,20579200
2021-03-10,3092.354,3097.924,3067.875,3081.861,18,89186000
2021-03-12,3081.861,3087.693,3059.659,3066.987,18,33275600
2021-03-15,3066.987,3069.965,3045.051,3056.692,18,362537200
2021-03-16,3056.692,3108.114,3038.351,3108.114,18,128788700
2021-03-17,3108.114,3162.436,3091.996,3099.338,18,48562300
2021-03-18,3099.338,3102.165,2967.113,2967.276,18,253151000
2021-03-19,2967.276,2968.227,2842.508,2846.63,18,64401600
2021-03-22,2846.63,3050.049,2750.784,3050.049,18,69136600
2021-03-23,3050.049,3068.379,2930.764,2956.521,18,54532300
2021-03-24,2956.521,2958.242,2833.579,2918.675,18,40259800
2021-03-25,2918.675,2924.078,2814.557,2846.186,18,57042000
2021-03-26,2846.186,3007.664,2846.413,3006.644,18,59014200
2021-03-29,3006.644,3029.913,2902.55,2933.779,18,220437000
2021-03-30,2933.779,2943.432,2830.52,2927.61,19,81996800
2021-03-31,2927.61,2939.551,2834.689,2842.4,19,46729500
2021-04-01,2842.4,2961.077,2842.062,2961.077,19,314822600
2021-04-05,2961.077,3002.017,2961.656,2994.401,19,215726100
2021-04-06,2994.401,3060.312,2992.587,3040.922,19,195089100
2021-04-07,3040.922,3097.892,3031.038,3083.881,19,251415800
2021-04-08,3083.881,3148.015,3083.881,3145.334,19,148191000
2021-04-09,3145.334,3168.011,3145.458,3159.816,19,84924800
2021-04-12,3159.816,3179.277,3134.77,3155.716,19,65202621
2021-04-13,3155.716,3161.681,3058.251,3095.15,19,93045800
2021-04-14,3095.15,3178.575,3077.687,3178.575,19,146300600
2021-04-15,3178.575,3200.24,3163.698,3175.569,19,118704600
2021-04-16,3175.569,3208.994,3138.855,3208.994,19,56964700
2021-04-19,3208.994,3284.581,3202.286,3272.746,19,38549400
2021-04-20,3272.746,3295.706,3232.349,3257.186,19,77763648
2021-04-21,3257.186,3262.304,3236.36,3244.844,19,103214400
2021-04-22,3244.844,3244.844,3198.589,3234.888,19,96254100
2021-04-23,3234.888,3267.93,3221.231,3258.384,19,40079900
2021-04-26,3258.384,3324.942,3250.714,3287.866,19,67757200
2021-04-27,3287.866,3336.883,3271.857,3274.627,19,113849500
2021-04-28,3274.627,3284.808,3180.409,3259.588,19,126119500
2021-04-29,3259.588,3266.338,3243.908,3250.121,19,143311100
2021-04-30,3250.121,3267.301,3181.301,3185.542,19,150039800
2021-05-03,3185.542,3238.283,3171.839,3219.375,19,215431200
2021-05-04,3219.375,3268.895,3164.031,3164.031,19,185039012
2021-05-05,3164.031,3345.047,3160.967,3334.195,19,148867000
2021-05-06,3334.195,3370.02,3331.573,3345.841,19,225045700
