date,open,high,low,close,stock_num,vol
2021-01-25,956.481,958.304,919.827,935.098,26,1113392800
2021-01-26,935.098,941.663,898.374,902.648,26,1207376307
2021-01-27,902.648,907.531,870.215,893.256,26,1549138300
2021-01-28,893.256,893.96,859.612,863.202,26,1259480400
2021-01-29,863.202,872.278,832.745,850.023,26,937672700
2021-02-01,850.023,885.466,829.307,883.891,26,982407400
2021-02-02,883.891,905.637,883.147,897.681,26,892447600
2021-02-03,897.681,910.004,884.897,896.495,26,795944400
2021-02-04,896.495,914.866,887.827,901.612,26,868351700
2021-02-05,901.612,921.889,894.223,907.686,26,760905300
2021-02-08,907.686,924.738,906.952,922.129,26,858812947
2021-02-09,922.129,950.814,914.377,925.952,26,804542400
2021-02-10,925.952,943.181,917.321,926.822,26,602430100
2021-02-11,926.822,939.298,919.211,934.974,26,708168400
2021-02-15,934.974,962.454,929.289,949.393,26,784044900
2021-02-16,949.393,955.804,943.38,949.226,26,644733300
2021-02-17,949.226,960.614,936.28,952.912,26,782087000
2021-02-18,952.912,966.047,946.144,950.807,26,869435600
2021-02-19,950.807,950.807,931.085,940.728,26,390239000
2021-02-22,940.728,953.316,933.43,936.044,26,623177887
2021-02-23,936.044,951.542,930.094,951.542,26,545548100
2021-02-24,951.542,980.826,949.121,964.351,26,817187600
2021-02-25,964.351,1003.284,955.431,997.965,26,726819900
2021-02-26,997.965,996.142,959.07,966.969,26,663666600
2021-03-01,966.969,994.174,965.58,981.349,26,794291100
2021-03-02,981.349,990.717,963.329,966.897,26,352258900
2021-03-03,966.897,972.409,953.04,955.054,26,469599100
2021-03-04,955.054,961.762,932.364,953.526,26,598252800
2021-03-05,953.526,989.734,940.392,963.168,26,421531900
2021-03-08,963.168,1008.399,963.168,1005.525,26,402280950
2021-03-09,1005.525,1009.641,978.49,982.529,26,372089600
2021-03-10,982.529,1008.906,969.863,1006.99,26,389941200
2021-03-12,1006.99,1018.094,1003.798,1009.726,26,350343100
2021-03-15,1009.726,1071.688,1009.673,1058.06,26,627371100
2021-03-16,1058.06,1078.071,1054.836,1065.396,26,562485700
2021-03-17,1065.396,1075.932,1053.358,1070.965,26,603682800
2021-03-18,1070.965,1081.194,1059.122,1059.718,26,379997900
2021-03-19,1059.718,1063.828,1038.842,1041.474,26,386780900
2021-03-22,1041.474,1041.54,1026.468,1032.904,26,325434400
2021-03-23,1032.904,1044.157,1006.543,1007.088,26,385658424
2021-03-24,1007.088,1013.479,992.859,996.753,26,462855400
2021-03-25,996.753,1005.245,970.198,990.767,26,318037400
2021-03-26,990.767,1017.803,986.501,1009.26,26,494212600
2021-03-29,1009.26,1025.109,1004.934,1009.444,26,775626300
2021-03-30,1009.444,1015.929,988.256,996.279,26,506155600
2021-03-31,996.279,996.46,963.141,979.984,26,494976750
2021-04-01,979.984,989.322,972.558,982.623,26,454943496
2021-04-05,982.623,994.135,979.094,984.216,26,437673900
2021-04-06,984.216,1027.99,982.994,1025.062,26,477642600
2021-04-07,1025.062,1033.293,1012.797,1022.429,26,393361300
2021-04-08,1022.429,1038.494,1018.791,1034.027,26,1018587184
2021-04-09,1034.027,1038.636,1019.023,1023.025,26,560741500
2021-04-12,1023.025,1025.734,997.708,997.708,26,532248200
2021-04-13,997.708,1015.604,982.921,1015.604,26,502129600
2021-04-14,1015.604,1030.556,1007.545,1015.734,26,512141300
2021-04-15,1015.734,1040.592,1011.678,1037.058,26,577160200
2021-04-16,1037.058,1064.689,1036.503,1046.629,26,645253800
2021-04-19,1046.629,1066.812,1046.97,1052.772,26,647490100
2021-04-20,1052.772,1062.266,1043.507,1059.003,26,571204300
2021-04-21,1059.003,1070.761,1051.106,1063.296,26,404865700
2021-04-22,1063.296,1076.449,1054.643,1058.008,26,484453870
2021-04-23,1058.008,1063.573,1047.458,1049.176,26,460292200
2021-04-26,1049.176,1053.775,1025.969,1031.066,26,435794100
2021-04-27,1031.066,1050.066,1028.197,1045.142,26,373323800
2021-04-28,1045.142,1054.685,1040.746,1047.318,26,420269928
2021-04-29,1047.318,1052.295,1035.778,1047.935,26,399757718
2021-04-30,1047.935,1051.489,1036.237,1041.8,26,527283400
2021-05-03,1041.8,1051.005,1035.362,1039.07,26,530122500
2021-05-04,1039.07,1055.764,1036.468,1044.724,26,678949384
2021-05-05,1044.724,1049.675,1032.265,1040.474,26,685165450
2021-05-06,1040.474,1050.201,1038.044,1045.184,26,509370900
2021-05-07,1045.184,1049.056,1036.713,1037.401,26,520620000
2021-05-10,1037.401,1056.928,1034.295,1056.556,26,495506900
2021-05-11,1056.556,1060.897,1047.571,1052.649,26,617891200
2021-05-17,1052.649,1061.153,1036.067,1039.006,26,693401400
2021-05-18,1039.006,1056.265,1036.819,1053.152,26,400074700
2021-05-19,1053.152,1081.136,1052.913,1067.278,26,860360800
2021-05-20,1067.278,1087.587,1067.159,1081.899,26,787068600
2021-05-21,1081.899,1099.888,1068.966,1081.684,26,914632500
2021-05-22,1081.684,1182.559,1081.684,1182.2,26,5008348105
2021-05-24,1081.684,1086.717,1052.848,1055.926,26,559204700
2021-05-25,1055.926,1057.663,1030.707,1036.113,26,811726400
2021-05-27,1036.113,1047.466,1019.415,1042.25,26,1055989671
2021-05-28,1042.25,1049.722,1025.973,1037.935,26,860031200
2021-05-31,1037.935,1076.262,1039.13,1050.093,26,849050700
2021-06-02,1050.093,1057.882,1042.444,1048.879,26,565353200
2021-06-03,1048.879,1067.148,1044.879,1050.096,26,668581350
2021-06-04,1050.096,1073.787,1025.442,1025.442,26,808226700
2021-06-07,1025.442,1027.441,1003.498,1015.371,26,653277300
2021-06-08,1015.371,1019.671,1001.078,1012.196,26,631597900
2021-06-09,1012.196,1061.839,1011.289,1060.498,26,844819200
2021-06-10,1060.498,1078.007,1051.266,1061.751,26,674560300
2021-06-11,1061.751,1077.531,1058.45,1077.531,26,780842900
2021-06-14,1077.531,1087.911,1052.797,1056.592,26,789168558
2021-06-15,1056.592,1062.28,1042.788,1045.322,26,1181412600
2021-06-16,1045.322,1054.434,1036.896,1046.468,26,422359100
2021-06-17,1046.468,1048.77,1031.068,1039.594,26,145186600
2021-06-18,1039.594,1042.332,1006.994,1016.989,26,126473400
2021-06-21,1016.989,1040.964,1000.202,1028.642,26,92413700
2021-06-22,1028.642,1035.825,1015.36,1019.905,26,96482700
2021-06-23,1019.905,1036.204,1012.469,1028.463,26,108118400
2021-06-24,1028.463,1033.378,1011.709,1013.664,26,107292900
2021-06-25,1013.664,1018.927,1000.707,1003.866,26,91302400
2021-06-28,1003.866,1005.78,987.059,992.788,26,66666816
2021-06-29,992.788,998.037,971.838,974.662,26,54033900
2021-06-30,974.662,981.969,968.992,979.481,26,62718700
2021-07-01,979.481,998.063,974.022,985.025,26,214182542
2021-07-02,985.025,992.594,975.735,980.479,26,58023700
2021-07-05,980.479,997.398,973.448,993.692,26,66435500
2021-07-06,993.692,1001.929,989.66,997.032,26,66694500
2021-07-07,997.032,1019.531,991.436,998.791,26,259355900
2021-07-08,998.791,1010.15,994.086,997.641,26,95695200
2021-07-09,997.641,1016.443,988.049,1010.791,26,61614300
2021-07-12,1010.791,1027.931,992.465,993.695,26,136417200
2021-07-13,993.695,1017.766,989.17,1002.218,26,73016600
2021-07-14,1002.218,1010.931,996.895,1010.931,26,144992200
2021-07-15,1010.931,1017.422,995.759,1009.56,26,172387100
2021-07-16,1009.56,1021.461,995.635,1008.614,26,293932200
2021-07-19,1008.614,1008.969,993.795,1001.725,26,112366200
2021-07-21,1001.725,1005.515,980.549,982.876,26,171937100
2021-07-22,982.876,995.713,981.556,991.411,26,168987700
2021-07-23,991.411,1015.459,984.393,1015.459,26,147108100
2021-07-26,1015.459,1046.573,999.913,1042.674,26,211238000
2021-07-27,1042.674,1078.007,1040.46,1056.335,26,516711600
